Target	Full_sample_name	SampleID	SampleType	sample_type	Copy_number_per_ul
Septoria	S1_leaf_endosphere	S1	leaf_endosphere	LE	22.21626763
Septoria	S10_leaf_endosphere	S10	leaf_endosphere	LE	14.91374245
Septoria	S11_leaf_endosphere	S11	leaf_endosphere	LE	5.84296101
Septoria	S12_leaf_endosphere	S12	leaf_endosphere	LE	16.9360346
Septoria	S13_leaf_endosphere	S13	leaf_endosphere	LE	8.03134319
Septoria	S14_leaf_endosphere	S14	leaf_endosphere	LE	4.833551262
Septoria	S15_leaf_endosphere	S15	leaf_endosphere	LE	10.13043043
Septoria	S17_leaf_endosphere	S17	leaf_endosphere	LE	6.603964781
Septoria	S18_leaf_endosphere	S18	leaf_endosphere	LE	4.321765062
Septoria	S19_leaf_endosphere	S19	leaf_endosphere	LE	4.972605764
Septoria	S2_leaf_endosphere	S2	leaf_endosphere	LE	3.760636915
Septoria	S20_leaf_endosphere	S20	leaf_endosphere	LE	36.96740221
Septoria	S21_leaf_endosphere	S21	leaf_endosphere	LE	11.76114429
Septoria	S22_leaf_endosphere	S22	leaf_endosphere	LE	38.75411179
Septoria	S23_leaf_endosphere	S23	leaf_endosphere	LE	5.100555743
Septoria	S25_leaf_endosphere	S25	leaf_endosphere	LE	5.476572083
Septoria	S26_leaf_endosphere	S26	leaf_endosphere	LE	11.85568561
Septoria	S27_leaf_endosphere	S27	leaf_endosphere	LE	19.78205478
Septoria	S28_leaf_endosphere	S28	leaf_endosphere	LE	5.748122306
Septoria	S29_leaf_endosphere	S29	leaf_endosphere	LE	35.93452913
Septoria	S3_leaf_endosphere	S3	leaf_endosphere	LE	28.41957414
Septoria	S30_leaf_endosphere	S30	leaf_endosphere	LE	35.51084874
Septoria	S31_leaf_endosphere	S31	leaf_endosphere	LE	5.241683305
Septoria	S33_leaf_endosphere	S33	leaf_endosphere	LE	12.12225729
Septoria	S34_leaf_endosphere	S34	leaf_endosphere	LE	11.43580689
Septoria	S37_leaf_endosphere	S37	leaf_endosphere	LE	2.974522715
Septoria	S38_leaf_endosphere	S38	leaf_endosphere	LE	6.581849476
Septoria	S39_leaf_endosphere	S39	leaf_endosphere	LE	131.8144694
Septoria	S4_leaf_endosphere	S4	leaf_endosphere	LE	12.95857431
Septoria	S40_leaf_endosphere	S40	leaf_endosphere	LE	27.76437149
Septoria	S41_leaf_endosphere	S41	leaf_endosphere	LE	16.54211131
Septoria	S42_leaf_endosphere	S42	leaf_endosphere	LE	13.38783318
Septoria	S43_leaf_endosphere	S43	leaf_endosphere	LE	12.91998981
Septoria	S44_leaf_endosphere	S44	leaf_endosphere	LE	39.58330549
Septoria	S45_leaf_endosphere	S45	leaf_endosphere	LE	4.731483311
Septoria	S46_leaf_endosphere	S46	leaf_endosphere	LE	21.91984465
Septoria	S47_leaf_endosphere	S47	leaf_endosphere	LE	6.185454622
Septoria	S48_leaf_endosphere	S48	leaf_endosphere	LE	1.387607055
Septoria	S49_leaf_endosphere	S49	leaf_endosphere	LE	36.8968269
Septoria	S5_leaf_endosphere	S5	leaf_endosphere	LE	21.84208036
Septoria	S50_leaf_endosphere	S50	leaf_endosphere	LE	6.367307793
Septoria	S51_leaf_endosphere	S51	leaf_endosphere	LE	70.018813
Septoria	S52_leaf_endosphere	S52	leaf_endosphere	LE	NA
Septoria	S53_leaf_endosphere	S53	leaf_endosphere	LE	0.891551239
Septoria	S54_leaf_endosphere	S54	leaf_endosphere	LE	8.396420294
Septoria	S55_leaf_endosphere	S55	leaf_endosphere	LE	3.243991698
Septoria	S56_leaf_endosphere	S56	leaf_endosphere	LE	9.618791906
Septoria	S57_leaf_endosphere	S57	leaf_endosphere	LE	7.53260633
Septoria	S58_leaf_endosphere	S58	leaf_endosphere	LE	19.46842877
Septoria	S59_leaf_endosphere	S59	leaf_endosphere	LE	53.97279777
Septoria	S6_leaf_endosphere	S6	leaf_endosphere	LE	21.38730864
Septoria	S60_leaf_endosphere	S60	leaf_endosphere	LE	4.799595313
Septoria	S61_leaf_endosphere	S61	leaf_endosphere	LE	5.315938221
Septoria	S62_leaf_endosphere	S62	leaf_endosphere	LE	2.135577456
Septoria	S63_leaf_endosphere	S63	leaf_endosphere	LE	9.31498932
Septoria	S64_leaf_endosphere	S64	leaf_endosphere	LE	8.814614948
Septoria	S65_leaf_endosphere	S65	leaf_endosphere	LE	3.578332737
Septoria	S66_leaf_endosphere	S66	leaf_endosphere	LE	21.29769698
Septoria	S67_leaf_endosphere	S67	leaf_endosphere	LE	4.535637776
Septoria	S68_leaf_endosphere	S68	leaf_endosphere	LE	7.133589957
Septoria	S69_leaf_endosphere	S69	leaf_endosphere	LE	2.352673619
Septoria	S7_leaf_endosphere	S7	leaf_endosphere	LE	NA
Septoria	S70_leaf_endosphere	S70	leaf_endosphere	LE	2.760806661
Septoria	S71_leaf_endosphere	S71	leaf_endosphere	LE	10.83159735
Septoria	S72_leaf_endosphere	S72	leaf_endosphere	LE	5.991376866
Septoria	S73_leaf_endosphere	S73	leaf_endosphere	LE	48.55045811
Septoria	S74_leaf_endosphere	S74	leaf_endosphere	LE	5.239998349
Septoria	S75_leaf_endosphere	S75	leaf_endosphere	LE	11.61018873
Septoria	S76_leaf_endosphere	S76	leaf_endosphere	LE	4.503068624
Septoria	S8_leaf_endosphere	S8	leaf_endosphere	LE	114.3015045
Septoria	S9_leaf_endosphere	S9	leaf_endosphere	LE	12.11273681
Septoria	S17_leaf_wash	S17	leaf_wash	LW	31.91572532
Septoria	S18_leaf_wash	S18	leaf_wash	LW	7.558942917
Septoria	S21_leaf_wash	S21	leaf_wash	LW	6.282478746
Septoria	S23_leaf_wash	S23	leaf_wash	LW	6.63889461
Septoria	S26_leaf_wash	S26	leaf_wash	LW	13.59859138
Septoria	S27_leaf_wash	S27	leaf_wash	LW	3.746570818
Septoria	S30_leaf_wash	S30	leaf_wash	LW	4.62866239
Septoria	S33_leaf_wash	S33	leaf_wash	LW	17.19803071
Septoria	S34_leaf_wash	S34	leaf_wash	LW	19.04471345
Septoria	S37_leaf_wash	S37	leaf_wash	LW	176.3759027
Septoria	S38_leaf_wash	S38	leaf_wash	LW	15.47884833
Septoria	S39_leaf_wash	S39	leaf_wash	LW	5.040801361
Septoria	S40_leaf_wash	S40	leaf_wash	LW	14.71195425
Septoria	S41_leaf_wash	S41	leaf_wash	LW	2.39799449
Septoria	S42_leaf_wash	S42	leaf_wash	LW	1.701678941
Septoria	S43_leaf_wash	S43	leaf_wash	LW	42.98351042
Septoria	S44_leaf_wash	S44	leaf_wash	LW	9.00331614
Septoria	S45_leaf_wash	S45	leaf_wash	LW	5.222910772
Septoria	S46_leaf_wash	S46	leaf_wash	LW	5.795886657
Septoria	S47_leaf_wash	S47	leaf_wash	LW	5.335113942
Septoria	S48_leaf_wash	S48	leaf_wash	LW	3.890142968
Septoria	S49_leaf_wash	S49	leaf_wash	LW	3.152914105
Septoria	S50_leaf_wash	S50	leaf_wash	LW	57.32803007
Septoria	S51_leaf_wash	S51	leaf_wash	LW	1.354259241
Septoria	S52_leaf_wash	S52	leaf_wash	LW	6.193829546
Septoria	S53_leaf_wash	S53	leaf_wash	LW	5.701177751
Septoria	S54_leaf_wash	S54	leaf_wash	LW	5.220935389
Septoria	S55_leaf_wash	S55	leaf_wash	LW	1.452970301
Septoria	S56_leaf_wash	S56	leaf_wash	LW	4.832976269
Septoria	S57_leaf_wash	S57	leaf_wash	LW	14.83756551
Septoria	S58_leaf_wash	S58	leaf_wash	LW	8.844634204
Septoria	S59_leaf_wash	S59	leaf_wash	LW	6.289679789
Septoria	S6_leaf_wash	S6	leaf_wash	LW	4.906092163
Septoria	S60_leaf_wash	S60	leaf_wash	LW	7.422916666
Septoria	S61_leaf_wash	S61	leaf_wash	LW	5.229037422
Septoria	S62_leaf_wash	S62	leaf_wash	LW	4.967350211
Septoria	S63_leaf_wash	S63	leaf_wash	LW	3.684953039
Septoria	S64_leaf_wash	S64	leaf_wash	LW	7.329979582
Septoria	S65_leaf_wash	S65	leaf_wash	LW	6.698374739
Septoria	S66_leaf_wash	S66	leaf_wash	LW	1.987570728
Septoria	S67_leaf_wash	S67	leaf_wash	LW	2.747587228
Septoria	S68_leaf_wash	S68	leaf_wash	LW	2450.529284
