sample-id	sample_type	sample	genotype	species	resistance	local_sep	SampleID
B1-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		B1-
B13-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		B13
B14-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		B14
B15-16S-Leafwash-Endo-Endo	LW	Blank	Blank	Blank	Blank		B15
B2-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		B2-
B3-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		B3-
B4-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		B4-
B5-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		B5-
B6-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		B6-
B7-16S-Rhizo	RH	Blank	Blank	Blank	Blank		B7-
B8-16S-Rhizo	RH	Blank	Blank	Blank	Blank		B8-
B9-16S-Leafwash-Endo-Endo	LW	Blank	Blank	Blank	Blank		B9-
NTC-AMP1-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		NTC
NTC-AMP2-16S-Leaf-Endo	LE	Blank	Blank	Blank	Blank		NTC
NTC-AMP1-16S-Leafwash-Endo-Endo	LW	Blank	Blank	Blank	Blank		NTC
NTC-AMP2-16S-Leafwash-Endo-Endo	LW	Blank	Blank	Blank	Blank		NTC
NTC-Amp1-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		NTC
NTC-Amp2-16S-Root-endo-16S	RE	Blank	Blank	Blank	Blank		NTC
NTC-Amp1-16S-Rhizo	RH	Blank	Blank	Blank	Blank		NTC
NTC-Amp2-16S-Rhizo	RH	Blank	Blank	Blank	Blank		NTC
S01-16S-Leaf-Endo-redo	LE	D411 #4	D411	P. deltoides	deltoides	22.21626763	S1
S02-16S-Leaf-Endo-redo	LE	D176 #5	D176	P. deltoides	deltoides	22.21626763	S2
S02-16S-Root-endo-run2	RE	D176 #5	D176	P. deltoides	deltoides	1.357747232	S2
S1-16S-Leaf-Endo	LE	D411 #4	D411	P. deltoides	deltoides	22.21626763	S1
S1-16S-Root-endo-16S	RE	D411 #4	D411	P. deltoides	deltoides	10.24832909	S1
S1-16S-Rhizo	RH	D411 #4	D411	P. deltoides	deltoides	67.90904107	S1
S15-16S-Leaf-Endo	LE	D411 #15	D411	P. deltoides	deltoides	10.13043043	S15
S15-16S-Root-endo-16S	RE	D411 #15	D411	P. deltoides	deltoides	3.327697563	S15
S15-16S-Rhizo	RH	D411 #15	D411	P. deltoides	deltoides	1.737082557	S15
S16-16S-Root-endo-16S	RE	D176 #11	D176	P. deltoides	deltoides	21.5187914	S16
S16-16S-Rhizo	RH	D176 #11	D176	P. deltoides	deltoides	106.777483	S16
S2-16S-Root-endo-16S	RE	D176 #5	D176	P. deltoides	deltoides	63.92525894	S2
S2-16S-Root-endo-16S_run3	RE	D176 #5	D176	P. deltoides	deltoides	1.357747232	S2
S2-16S-Rhizo	RH	D176 #5	D176	P. deltoides	deltoides	3.760636915	S2
S28-16S-Leaf-Endo	LE	D411 #26	D411	P. deltoides	deltoides	5.748122306	S28
S28-16S-Root-endo-16S	RE	D411 #26	D411	P. deltoides	deltoides	3.854371414	S28
S28-16S-Rhizo	RH	D411 #26	D411	P. deltoides	deltoides	60.02300099	S28
S29-16S-Leaf-Endo-redo	LE	D176 #17	D176	P. deltoides	deltoides	35.93452913	S29
S29-16S-Rhizo	RH	D176 #17	D176	P. deltoides	deltoides	464.1258976	S29
S46-16S-Leaf-Endo	LE	D411 #8	D411	P. deltoides	deltoides	21.91984465	S46
S46-16S-Leaf-Endo-redo	LE	D411 #8	D411	P. deltoides	deltoides	21.91984465	S46
S46-16S-Leafwash-Endo-Endo	LW	D411 #8	D411	P. deltoides	deltoides	5.795886657	S46
S46-16S-Root-endo-16S	RE	D411 #8	D411	P. deltoides	deltoides	1.82408484	S46
S46-16S-Rhizo	RH	D411 #8	D411	P. deltoides	deltoides	184.7781493	S46
S47-16S-Leaf-Endo	LE	D176 #6	D176	P. deltoides	deltoides	6.185454622	S47
S47-16S-Leaf-Endo-redo	LE	D176 #6	D176	P. deltoides	deltoides	6.185454622	S47
S47-16S-Leafwash-Endo-Endo	LW	D176 #6	D176	P. deltoides	deltoides	5.335113942	S47
S47-16S-Root-endo-16S	RE	D176 #6	D176	P. deltoides	deltoides	2.308771532	S47
S47-16S-Rhizo	RH	D176 #6	D176	P. deltoides	deltoides	29.09750428	S47
S61-16S-Leaf-Endo	LE	D411 #17	D411	P. deltoides	deltoides	5.315938221	S61
S61-16S-Leaf-Endo-redo	LE	D411 #17	D411	P. deltoides	deltoides	5.315938221	S61
S61-16S-Leaf-wash-redo	LW	D411 #17	D411	P. deltoides	deltoides	5.229037422	S61
S61-16S-Leafwash-16S_run3	LW	D411 #17	D411	P. deltoides	deltoides	5.229037422	S61
S61-16S-Leafwash-Endo-Endo	LW	D411 #17	D411	P. deltoides	deltoides	5.229037422	S61
S61-16S-Root-endo-16S	RE	D411 #17	D411	P. deltoides	deltoides	4.857430217	S61
S61-16S-Rhizo	RH	D411 #17	D411	P. deltoides	deltoides	351.545531	S61
S62-16S-Leaf-Endo	LE	D176 #8	D176	P. deltoides	deltoides	2.135577456	S62
S62-16S-Leaf-wash-redo	LW	D176 #8	D176	P. deltoides	deltoides	4.967350211	S62
S62-16S-Leafwash-16S_run3	LW	D176 #8	D176	P. deltoides	deltoides	4.967350211	S62
S62-16S-Leafwash-Endo-Endo	LW	D176 #8	D176	P. deltoides	deltoides	4.967350211	S62
S62-16S-Root-endo-16S	RE	D176 #8	D176	P. deltoides	deltoides	2.247526636	S62
S62-16S-Rhizo	RH	D176 #8	D176	P. deltoides	deltoides	273.2734687	S62
S03-16S-Root-endo-redo	RE	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	11.15151567	S3
S10-16S-Leaf-Endo	LE	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	14.91374245	S10
S10-16S-Root-endo-16S	RE	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	5.117187725	S10
S10-16S-Rhizo	RH	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	415.9736465	S10
