sample-id	sample_type	sample	genotype	species	resistance	SampleID
S1-ITS-Leaf-Endo	LE	D411 #4	D411	P. deltoides	deltoides	S1
S1-ITS-Rhizo	RH	D411 #4	D411	P. deltoides	deltoides	S1
S1-ITS-Root-endo-ITS	RE	D411 #4	D411	P. deltoides	deltoides	S1
S15-ITS-Leaf-Endo	LE	D411 #15	D411	P. deltoides	deltoides	S15
S15-ITS-Rhizo	RH	D411 #15	D411	P. deltoides	deltoides	S15
S15-ITS-Root-endo-ITS	RE	D411 #15	D411	P. deltoides	deltoides	S15
S15-ITS-Root-endo-run2	RE	D411 #15	D411	P. deltoides	deltoides	S15
S16-ITS-Rhizo	RH	D176 #11	D176	P. deltoides	deltoides	S16
S16-ITS-Root-endo-ITS	RE	D176 #11	D176	P. deltoides	deltoides	S16
S16-ITS-Root-endo-run2	RE	D176 #11	D176	P. deltoides	deltoides	S16
S2-ITS-Leaf-Endo	LE	D176 #5	D176	P. deltoides	deltoides	S2
S2-ITS-Rhizo	RH	D176 #5	D176	P. deltoides	deltoides	S2
S2-ITS-Root-endo-ITS	RE	D176 #5	D176	P. deltoides	deltoides	S2
S28-ITS-Leaf-Endo	LE	D411 #26	D411	P. deltoides	deltoides	S28
S28-ITS-Rhizo	RH	D411 #26	D411	P. deltoides	deltoides	S28
S28-ITS-Root-endo-ITS	RE	D411 #26	D411	P. deltoides	deltoides	S28
S29-ITS-Leaf-Endo	LE	D176 #17	D176	P. deltoides	deltoides	S29
S29-ITS-Rhizo	RH	D176 #17	D176	P. deltoides	deltoides	S29
S46-ITS-Leaf-Endo	LE	D411 #8	D411	P. deltoides	deltoides	S46
S46-ITS-Leafwash-Endo-Endo	LW	D411 #8	D411	P. deltoides	deltoides	S46
S46-ITS-Rhizo	RH	D411 #8	D411	P. deltoides	deltoides	S46
S46-ITS-Rhizo-redo	RH	D411 #8	D411	P. deltoides	deltoides	S46
S46-ITS-Root-endo-ITS	RE	D411 #8	D411	P. deltoides	deltoides	S46
S47-ITS-Leaf-Endo	LE	D176 #6	D176	P. deltoides	deltoides	S47
S47-ITS-Leafwash-Endo-Endo	LW	D176 #6	D176	P. deltoides	deltoides	S47
S47-ITS-Rhizo	RH	D176 #6	D176	P. deltoides	deltoides	S47
S47-ITS-Root-endo-ITS	RE	D176 #6	D176	P. deltoides	deltoides	S47
S47-ITS-Root-endo-ITS_run3	RE	D176 #6	D176	P. deltoides	deltoides	S47
S47-ITS-Root-endo-run2	RE	D176 #6	D176	P. deltoides	deltoides	S47
S61-ITS-Leaf-Endo	LE	D411 #17	D411	P. deltoides	deltoides	S61
S61-ITS-Leaf-wash-redo	LW	D411 #17	D411	P. deltoides	deltoides	S61
S61-ITS-Leafwash-Endo-Endo	LW	D411 #17	D411	P. deltoides	deltoides	S61
S61-ITS-Rhizo	RH	D411 #17	D411	P. deltoides	deltoides	S61
S61-ITS-Root-endo-ITS	RE	D411 #17	D411	P. deltoides	deltoides	S61
S61-ITS-Root-endo-run2	RE	D411 #17	D411	P. deltoides	deltoides	S61
S62-ITS-Leaf-Endo	LE	D176 #8	D176	P. deltoides	deltoides	S62
S62-ITS-Leafwash-Endo-Endo	LW	D176 #8	D176	P. deltoides	deltoides	S62
S62-ITS-Rhizo	RH	D176 #8	D176	P. deltoides	deltoides	S62
S62-ITS-Root-endo-ITS	RE	D176 #8	D176	P. deltoides	deltoides	S62
